Block: 1168
Row Block TimeStamp DocumentTimestamp TraceOriginalId DocumentHash ContentHash PdfDocumentHash PdfContentHash Type DocumentCode DocumentVersion OwnerKey VersionKey OwnerSignature OwnerSignedData VersionSignature LedgerSignature LedgerSeal
7026 1168 2022-11-30T12:19:36.491Z 2022-11-30T12:19:35.368Z e1459d1e44e94f72431ebbb77f5864592271ae9d883a51b0ffcd9126a539a040 2aa9f1b00555db40ce3406fc635cc13d806b59e68f2b35b3b848bb917c301fdf 0d1b619e3ddf45c762a3912c80c05a4c087fd1dc190a1bae93ea577005cf2eca 68addc5098c3623716f64b968162eec12d3947f830a0ff916d049795dd237073 68addc5098c3623716f64b968162eec12d3947f830a0ff916d049795dd237073 CRE TTL 1 03ee13a8f6f5131981bca215e72e4ba57e92d0f5f297d129c1ac61c88cfe301eff 0386a3acfed933a44a0ab7c2f9faa1e6b19dc34d2a9d17ecf6d5dfdb575b9d7bc4 EJdVixMRxB8+chCex7LUEFAqPMNeymBstQSsABIQR60xyfsQ+fredJpQoApfXGytjVACnrEsKgIrPs38PxJPuA== 68addc5098c3623716f64b968162eec12d3947f830a0ff916d049795dd237073 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MqFswiQlEhqBBVe+CmcUwrXXMD5YVZ57k/x1PamHgER/gHFTrAaF04v6zooh/MT8UB1eHjJDmTeq4N+7kHWePg== uc8xZwj7wt6uqqnhTEyq3rKnagoNBp1mythtiLDLVWMuQ2P3ufs61Y5QLOm6FMfQGI0cmChcfH9UZUF5UhOGZw==
7027 1168 2022-11-30T12:19:37.200Z 2022-11-30T12:19:36.406Z 931f2964438860be769377834940bd7369e81c40a44a990fdd0fc7393203bc5f a9d36183c3aab76c68e23f98f0c957aba9222243ba44b067c27cc949c1cc5798 0d1b619e3ddf45c762a3912c80c05a4c087fd1dc190a1bae93ea577005cf2eca f1265664ae3c3b7e3c3fc0a33a67decc5850ca2ac2d84fae1ca9bd37ec7c6561 f1265664ae3c3b7e3c3fc0a33a67decc5850ca2ac2d84fae1ca9bd37ec7c6561 CRE TTL 1 02d7d8fcb4db0718aab04d92dc062e7745c479c09bd5f6ff0b8772bbb305b5984e 0371722a0b7094f0000ee8f512b99ad5f5d8a4b634f75aee5bf4591f066e7a87a9 V3gSm0haSpey6fY4pe8UcTFM+35SrSC8U06iP2SI/8cG90wvxIA7SX2cQDN27XcLqGZ8Gg7YOfjSImGRStbreQ== f1265664ae3c3b7e3c3fc0a33a67decc5850ca2ac2d84fae1ca9bd37ec7c6561 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 feLYmkRdjjQ8wGLIPF7BNcCXBPzk6Uc0eNtnVi4XB8jLifL63nt4m0eKSZdtV/9A95abCFL6y1rQoRYOR45okQ== UkN7/ZnD+lbZhe381Us52oYi9qG8CRmuxwHwaG3DxFFF0BxtJm6mIX8gUvaElM3nllTsw3xGWbJ46jk47jYnQg==
7028 1168 2022-11-30T12:19:38.787Z 2022-11-30T12:19:37.766Z a95362c13bcb56dc8dbf7d4ff67edbb6dc5f03d8afa4a6bda10672d730b6b26d 826af37a569d623c8e6df797701d8c7f6986ec0ddcd8c11d50fd6baaee13df71 0d1b619e3ddf45c762a3912c80c05a4c087fd1dc190a1bae93ea577005cf2eca dfc53d02453d31cc4bfd3c73038380dd4e20965bd2c868eca67bb335e98ca111 dfc53d02453d31cc4bfd3c73038380dd4e20965bd2c868eca67bb335e98ca111 CRE TTL 1 0389c1b9152a927936f81fcfd8e013274990273857bf5ee70779876054b4db2411 03a776f51937ddf8beb710a09ef823e361b1936d998e95eb4c1b6d2c661068959d Bp8uwth7BNl2BqW0RhyyrDf+OceAypQpyOG/6+WSCSwyK+2KdUZO1nmIx9cLGGBxe3ZboQrrt3AiUbLT8Swblg== dfc53d02453d31cc4bfd3c73038380dd4e20965bd2c868eca67bb335e98ca111 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 VLpJBxJGGHxWGMmWaz3rwUoX0V2L9lmlyR1fcxSggnA//ylS/WQyj3vgqDMDdQQ20UAl+ohGoUq9ahqae0Gx7A== nkDfCgNnOyxfPPzqXTzCD2D1ChaG/hr7lrMsq0XpZmeJrPD28P/n3xAU961IvyfQLMo/OuDy4zWR+DZKBwj62Q==
7029 1168 2022-11-30T12:19:41.763Z 2022-11-30T12:19:41.115Z d65d97eeb095e100b8fd57391e11e498737ebd912cf3e7e55aa42045d4335cf2 9500868e2fff168c0df5dcc34e35bc0682cf283ee2432ee656566b1e3a750266 0d1b619e3ddf45c762a3912c80c05a4c087fd1dc190a1bae93ea577005cf2eca 7057daf41139f7104b5bd87829eaeae10949faf4a5f74d7846369ba5fdf20bd0 7057daf41139f7104b5bd87829eaeae10949faf4a5f74d7846369ba5fdf20bd0 CRE TTL 1 03d96ef9bf1460d1244adaef9d8b876b2d6cb0f97130efce2474173db5998f229f 034b338698506de9c99fe27b00e0759df4e3909d6e6780a3a1f3b4d66ee032294a KxutWVdMByj894SNg+xCgsiiZPo6tP+duUfa9Wo0z+tkWcyVQO09LawkFHz7D7MyKMzhOEOwifXJMtRt3myh9Q== 7057daf41139f7104b5bd87829eaeae10949faf4a5f74d7846369ba5fdf20bd0 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 SirBnK7FdxuZ6FF+D+ugIQG5LrtTUqCi8e8C5aHz04FISvido44C18Hsn1skuzSzODAoo7zNnG1uDo6IxZYNYg== /GOJqDxk3qls4LmGV8ff5ycfD0sy3lbP2I0H3iHdsbYr37/SqKXsXLOtUWF18jeuh4yts4h4PNbbHpIkAp3ccQ==
7030 1168 2022-11-30T12:19:41.806Z 2022-11-30T12:19:41.100Z 327b03605875acef629510478b63d1d6d573021b989a4ba2c109dc5a9570b24d 2ee866e346f72798d5b813eacd0ead7f64fcfac749a2ea332973804c77df988f 0d1b619e3ddf45c762a3912c80c05a4c087fd1dc190a1bae93ea577005cf2eca 4debdc55376b03e730dbbdfc32c1978031c3364aabf701c794ebcb45aa7d6b57 4debdc55376b03e730dbbdfc32c1978031c3364aabf701c794ebcb45aa7d6b57 CRE TTL 1 022bbd2d67518390d1acfcb6d11cd8c2505efd3a2747c7bdcb07c8c7ed72b0b38c 0271a0380e948dfc1494da4d0c130c0b3d76c88e33a670946462292d181d950393 etsDvNh87YhN7cuX3gl7ml7Cs+xST8szu5vl5UahRA0tA+oLNdxwhIIztstXH+EkIwf1sOnAiKEIQb01UjfjGw== 4debdc55376b03e730dbbdfc32c1978031c3364aabf701c794ebcb45aa7d6b57 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 XWntVAqgPTn7dUtu8wW839GQMvtaKH4QiSsB0JtThrjlRH/fGRq07bLSIvmJPxU6AC06SuqofLZdHsFyyqbYhA== 63MR0VeToCo7hOcFswEoDn62CUBjH+lRcGyxU8PvRWbs4AFdTlVHUU4b+A2TK1Pf4HZXQZhyAlNKVz7QzSOpuA==
7031 1168 2022-11-30T12:19:42.024Z 2022-11-30T12:19:41.258Z 089d2e63f30da594b1445164a180d1c38466a3764dd99fb0a487731548e7787c 468b9005cc3ddfbfe4575e11ed13158785eac1c3c0c71872a46415bab51611bd 0d1b619e3ddf45c762a3912c80c05a4c087fd1dc190a1bae93ea577005cf2eca 9a99d7070ee676aef81208214d24a45be609f5f1b3bdf460ca5df16d3a24318e 9a99d7070ee676aef81208214d24a45be609f5f1b3bdf460ca5df16d3a24318e CRE TTL 1 0346f9ee439d165d971baa401fceb9459845c0b38fa6a645008150da31e7851759 03108a7e608a20f5a3c18730f0967bb45773628c3d3f3977631fab6c12480158dc 7UM7fZ27MOb/uKVjwtGsPIIOoygpul91j1iR5UCtPldkHq4vhqAon3/A95daRjM/VQXAXbMYBPI1sg9UT2GsfA== 9a99d7070ee676aef81208214d24a45be609f5f1b3bdf460ca5df16d3a24318e 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 2jv+oQeGxxjd8J4Vq2Za+uq6g3/ILJWdV2Zzw15QojvJPWH6OuPk+lT9FZRcjvGhI/Lss5+eU44ukwxNAQI58A== QX2S9zwQg/L2AsiyVRwLEQeLCywYxhz1zLUmgR6D/pc8VDauBDs+l00Z9OTT1x/e1A2+WKMEgF5bYLa2wEXN0g==
7032 1168 2022-11-30T12:19:43.252Z 2022-11-30T12:19:42.233Z 3dbaca94db096993639dd68f2112308adc1b5278bd115c12d98eef2a7ad59932 8e727f87afd9417eaa1c14c5a8eae91756811af2131472570287241f7b891a5c 0d1b619e3ddf45c762a3912c80c05a4c087fd1dc190a1bae93ea577005cf2eca 96c6159b040743a95c848257f2b11dbddb088a204e484f74a3ef334a12682b67 96c6159b040743a95c848257f2b11dbddb088a204e484f74a3ef334a12682b67 CRE TTL 1 02947e5a8dc8cd0487b061efa00ad780964c2d483230ffe551f0c1fdab12425ff2 03be4988975ea0428bfa8b27cd7088c5fed7bb2e6df0f2a5d626e1fe1214a255fc ktI/SVvTsA0GKultIRSFyMTGhH5N3tq00e46PuQQgoQ+LLECY+oCeCcYp9cmqJlIjKvyKTyLv3ZAXgE+Cac+9w== 96c6159b040743a95c848257f2b11dbddb088a204e484f74a3ef334a12682b67 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 tBMKCQcRTyXXAbLEHzLw3A42ZAYcvHOi+lIG1iY1kwvy99wdx3TmmZdIXC3sGHpvQIo3EEKOlTgDF6edMsg2eg== AWbqA68R9+fuFS25wD+VNcpuYxvqCEODM3iQaphDYXO09VM+T72p8+egUbZXOmOmxdNlojlqT5fH62tZS9+LQQ==
7033 1168 2022-11-30T12:19:43.290Z 2022-11-30T12:19:42.292Z 8604db535dda6447cd98f407ce1bada4b168cae6620b858d9c49c1bf5d5d92db c68ca95bd62f76eb92588139b2caa0838be87a27b275c93fa235c26e4b4757b5 0d1b619e3ddf45c762a3912c80c05a4c087fd1dc190a1bae93ea577005cf2eca 1c77d79607da33dc12f7d368857ac354bd91f005fd5d162121a9faaf72951a5a 1c77d79607da33dc12f7d368857ac354bd91f005fd5d162121a9faaf72951a5a CRE TTL 1 03be9d6ef5f2f28b09053bddc36689885a5866654f10b8e4bdb36dd8a9beb53815 029b93857dd13a2e59fc61afa08b83a206f37566e1e0e685edfd3d3a322416a1db AJmLGxFoux1KwCxBApRJh7A4LVGlwJXil8ncapHtSSF9HOcvgns0wqClWW/y7jHNjlAxy6J+EsbztIPKFOWL9g== 1c77d79607da33dc12f7d368857ac354bd91f005fd5d162121a9faaf72951a5a 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 KDdnvlWbJCzUtZ0BzmyrY5FheRmVflxM9OHEeFtrIMt2w9ur7PNT9ZnCxNzjO42soRnIT70D+L34ckwGiQH5bw== zIEBBxrBz8qqaq/LKiDWpPjmGYenA7skcsnnhnxG4qIBf36Vc/Av2cAaqlFnMZ3QS5fU00w/f6tURg4o5rC2QQ==
7034 1168 2022-11-30T12:19:43.546Z 2022-11-30T12:19:42.776Z 1f6903255f944dfdac86a126aaebe7ff9263dcc885215258230130a0f8b6e5a9 7f5329d8b732103637da059cae5b7114d34cef18e1ede6b5cd47a5b33645cbea 0d1b619e3ddf45c762a3912c80c05a4c087fd1dc190a1bae93ea577005cf2eca 8059b1d843b800995453401543701c228dca49ccd9ff355dd6be674b45156e51 8059b1d843b800995453401543701c228dca49ccd9ff355dd6be674b45156e51 CRE TTL 1 0346610ebd164a173891cb4ff8fa8abb6cd1dac4aedbc4230a92c9a22c62360eea 0281a79d03e26e23c93a7de37767a79e8cdc06efa663c5b122dd3a7b89dafa75e0 ezV4K+/uDf93058Yzq3jRh4BwcyWnxMD/dX8gU2PYQ1JQi0da1DTN7fNmakDT/jcGgraaGeCi8e+tLNfomq6QA== 8059b1d843b800995453401543701c228dca49ccd9ff355dd6be674b45156e51 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 xXhF863nCB8vOJIHa0++Qf9kB2axW3Jto1upq/m8fHVPEBHtt/0CVPo3Pq4NrkjucnNPzbU+aK+83YAebztBUw== bqp0iWzcGdfIbHZKqTMjdV4sz+cxEUC7NPuzWJvvOO9oBrNrrydDl31WHe3BD7U5tkbmhA8yLTfnBPcc87SU5A==
7035 1168 2022-11-30T12:19:43.622Z 2022-11-30T12:19:42.823Z 2a0c0d7018b70eb0fba84eff6080ee857cb1dcc04ec64e761fc052f4828dbc56 9e795ee5f4fc1d86151d1fea596160c032f732f073b27dfee6960880a54eb19f 0d1b619e3ddf45c762a3912c80c05a4c087fd1dc190a1bae93ea577005cf2eca 276f6bfcafb7cfb69eb4296d41d938a86f69813136b686f6aff8304e8d79c572 276f6bfcafb7cfb69eb4296d41d938a86f69813136b686f6aff8304e8d79c572 CRE TTL 1 022ebf4c196fedfa85bc064d1dca0b05ca784be0320ed7620d146df7484d3c87e0 031cc51b3d15fe43dcb40f8294d9b554c87c9588b778a55997993986464cc588f4 NPQxmPCTdYsbUhlOJtkJW3kpdJuY6/BLJE9wXLImG3uwAw8o8sxZXidwUANLYlkoAAaoclz236oHC50D+2WBzg== 276f6bfcafb7cfb69eb4296d41d938a86f69813136b686f6aff8304e8d79c572 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 zfPwSUEnhoX07qlOb4RYIFH1jE6X5HLZxjakZDXeF2INiNXA6J2Vkmla3Vz18xNPjMTOgjQWzE7KdyuaBFt5Hg== 2IBmM4o8iwmhttSgd80gr0d27C7zXE0d88+bD/QpIevxzm04rlWt6GA0kdLwA3bWYaQO1H1GItFlIsXs/09ppA==
